ID,TOTAL HOURS
1211281,4.8
63524,16.0
1208144,22.6
1211641,19.8
1212220,15.9
11001246,6.1
11002184,13.3
2008415,11.4
926163,19.8
953276,16.9
1212009,16.3
1210246,19.7
1211312,13.0
14000115,15.9
2003624,14.9
11006287,14.2
2007624,14.0
2001198,13.3
11000675,13.3
1211823,16.1
462379422,16.1
11000348,13.2
11001124,6.8
11001764,7.0
11002043,1.8
2001511,16.7
11001970,13.2
11001770,18.0
1211635,13.4
4115843,6.8
4116254,10.2
1212178,5.9
11006143,11.5
1211660,8.8
1214316,9.7
11003255,14.3
11001891,2.8
1211612,6.0
11008121,7.2
1211452,11.6
4112126,8.2
11001678,6.8
14001180,15.8
11009054,7.8
4113419,4.6
14000929,13.7
1214402,5.0
1214025,0.8
11001685,10.0
11000898,10.8
1211100,8.6
1214026,10.9
901926,11.2
11005897,3.9
11000528,7.9
11002329,4.6
11001667,8.2
7000878,11.0
11001730,16.0
11001690,13.7
11000864,7.3
11001883,12.1
1212241,9.4
11001621,8.6
11012070,5.6
1212104,10.5
4112395,21.7
1210644,12.8
1212927,9.1
1214571,1.5
11001889,12.8
11000431,3.8
67055,2.0
11009227,4.5
1212169,14.1
11000873,8.2
931844,16.5
11000420,1.0
907780,12.1
2007453,12.6
2003646,11.3
11008518,6.3
905051,9.2
931790,12.8
4111175,10.6
1214467,15.0
11001329,1.9
4114713,11.1
4111492,7.6
4111053,8.6
11001703,10.2
11005086,1.9
2008135,8.1
4111100,14.4
11001771,9.8
11001136,1.6
931616,9.4
1100402,0.0
11007072,13.4
4114192,6.9
11001999,5.2
11001624,5.4
11002284,5.5
4112276,8.6
11000641,5.0
1210307,5.1
931781,4.2
1210365,1.5
1214632,7.0
1214110,2.8
11008402,2.6
1210393,3.3
2004201,10.8
1209528,8.3
1632194,0.0
14002684,6.8
14002497,1.4
907409,8.2
109225185,9.6
1211565,8.1
1826389878240401,2.1
305365280,7.7
11009511,8.0
11000516,4.0
2002047,3.5
4114795,4.4
2001993,1.2
14002479,6.1
11000637,1.9
121214801,0.0
11000932,3.9
905287,2.0
11007001,2.3
7385400808,0.3
11007273,0.1
